GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
msd21_ulbrich_jakob,default,Main,41,0,0,0,12,0,3,0,3,0
msd21_ulbrich_jakob,at.fhj.msd,Calculator,0,75,0,6,0,21,0,10,0,7
